Transaction_ID,Date,Store_ID,Region,Category,Sales_Amount,Transaction_Type,Customer_ID,HourOfDay,IsRefund,Net_Revenue,Anomaly_Label,Anomaly_Score,Is_Anomaly
TXN_000001,2025-10-29 18:29:49.836071,STORE_004,Central,Home Goods,19.67,Sale,CUST_0481,18,0,19.67,1,0.1575319316221172,False
TXN_000002,2025-10-29 18:41:49.836071,STORE_008,East,Electronics,29.86,Sale,CUST_0822,18,0,29.86,1,0.1684132967417874,False
TXN_000003,2025-10-29 18:42:49.836071,STORE_008,East,Electronics,7.19,Sale,CUST_2721,18,0,7.19,1,0.1313591100956284,False
TXN_000004,2025-10-29 18:43:49.836071,STORE_003,East,Home Goods,82.03,Sale,CUST_1215,18,0,82.03,1,0.2014377032620024,False
TXN_000005,2025-10-29 18:49:49.836071,STORE_006,South,Clothing,62.24,Refund,CUST_3824,18,1,-62.24,1,0.021457539367606304,False
TXN_000006,2025-10-29 19:02:49.836071,STORE_005,Central,Home Goods,44.97,Sale,CUST_1981,19,0,44.97,1,0.22069149923196074,False
TXN_000007,2025-10-29 19:07:49.836071,STORE_002,Central,Groceries,204.78,Sale,CUST_0891,19,0,204.78,1,0.16804814071849572,False
TXN_000008,2025-10-29 19:19:49.836071,STORE_008,East,Electronics,228.43,Sale,CUST_0932,19,0,228.43,1,0.1451561685242987,False
TXN_000009,2025-10-29 19:27:49.836071,STORE_006,South,Electronics,61.94,Sale,CUST_3770,19,0,61.94,1,0.24022267305070694,False
TXN_000010,2025-10-29 19:31:49.836071,STORE_002,Central,Home Goods,78.93,Sale,CUST_1511,19,0,78.93,1,0.2418610277733087,False
TXN_000011,2025-10-29 19:40:49.836071,STORE_005,Central,Clothing,109.5,Sale,CUST_1494,19,0,109.5,1,0.23326119469670087,False
TXN_000012,2025-10-29 19:41:49.836071,STORE_001,West,Clothing,348.48,Sale,CUST_3245,19,0,348.48,1,0.07103198644635322,False
TXN_000013,2025-10-29 19:52:49.836071,STORE_010,Central,Groceries,203.65,Sale,CUST_2546,19,0,203.65,1,0.16883064493324895,False
TXN_000014,2025-10-29 20:11:49.836071,STORE_006,South,Electronics,156.35,Sale,CUST_0540,20,0,156.35,1,0.20651822978121598,False
TXN_000015,2025-10-29 20:26:49.836071,STORE_009,East,Home Goods,68.06,Sale,CUST_2119,20,0,68.06,1,0.24282777023859214,False
TXN_000016,2025-10-29 20:36:49.836071,STORE_001,West,Home Goods,28.02,Refund,CUST_4026,20,1,-28.02,1,0.022117778055801618,False
TXN_000017,2025-10-29 20:41:49.836071,STORE_010,Central,Electronics,66.43,Sale,CUST_2690,20,0,66.43,1,0.24382924917454796,False
TXN_000018,2025-10-29 21:01:49.836071,STORE_003,East,Home Goods,38.8,Sale,CUST_3450,21,0,38.8,1,0.2268241795578445,False
TXN_000019,2025-10-29 21:05:49.836071,STORE_007,East,Electronics,60.62,Sale,CUST_4683,21,0,60.62,1,0.24470025221136704,False
TXN_000020,2025-10-29 21:20:49.836071,STORE_004,Central,Clothing,19.53,Sale,CUST_0105,21,0,19.53,1,0.19983550303555397,False
TXN_000021,2025-10-29 21:29:49.836071,STORE_009,East,Clothing,133.43,Sale,CUST_0095,21,0,133.43,1,0.20596900072021096,False
TXN_000022,2025-10-29 21:45:49.836071,STORE_003,East,Home Goods,82.03,Sale,CUST_0539,21,0,82.03,1,0.24462129475720762,False
TXN_000023,2025-10-29 22:28:49.836071,STORE_005,Central,Clothing,44.93,Sale,CUST_4274,22,0,44.93,1,0.21880827356447669,False
TXN_000024,2025-10-29 22:30:49.836071,STORE_003,East,Clothing,235.79,Sale,CUST_2179,22,0,235.79,1,0.11977214783774648,False
TXN_000025,2025-10-29 22:42:49.836071,STORE_007,East,Groceries,20.56,Sale,CUST_1032,22,0,20.56,1,0.1962079756687483,False
TXN_000026,2025-10-29 22:43:49.836071,STORE_005,Central,Electronics,14.54,Sale,CUST_1825,22,0,14.54,1,0.18595813951551654,False
TXN_000027,2025-10-29 22:53:49.836071,STORE_009,East,Electronics,74.18,Sale,CUST_1782,22,0,74.18,1,0.23369582382203796,False
TXN_000028,2025-10-29 22:55:49.836071,STORE_007,East,Home Goods,63.84,Sale,CUST_2704,22,0,63.84,1,0.23703200268460056,False
TXN_000029,2025-10-29 22:55:49.836071,STORE_002,Central,Electronics,112.12,Sale,CUST_4322,22,0,112.12,1,0.22051182569980537,False
