Transaction_ID,Date,Store_ID,Category,Sales_Amount,Transaction_Type,Customer_ID,Net_Revenue
TXN_000001,2025-10-29 16:52:39.461045,STORE_007,Groceries,114.19,Sale,CUST_0481,114.19
TXN_000002,2025-10-29 17:04:39.461045,STORE_004,Clothing,66.38,Sale,CUST_0822,66.38
TXN_000003,2025-10-29 17:05:39.461045,STORE_008,Groceries,34.11,Sale,CUST_2721,34.11
TXN_000004,2025-10-29 17:06:39.461045,STORE_005,Groceries,117.24,Sale,CUST_1215,117.24
TXN_000005,2025-10-29 17:12:39.461045,STORE_007,Home Goods,17.68,Sale,CUST_3824,17.68
TXN_000006,2025-10-29 17:25:39.461045,STORE_010,Clothing,25.65,Sale,CUST_1981,25.65
TXN_000007,2025-10-29 17:30:39.461045,STORE_003,Clothing,111.02,Sale,CUST_0891,111.02
TXN_000008,2025-10-29 17:42:39.461045,STORE_007,Clothing,248.99,Sale,CUST_0932,248.99
TXN_000009,2025-10-29 17:50:39.461045,STORE_008,Electronics,150.63,Sale,CUST_3770,150.63
TXN_000010,2025-10-29 17:54:39.461045,STORE_005,Groceries,139.45,Sale,CUST_1511,139.45
TXN_000011,2025-10-29 18:03:39.461045,STORE_004,Clothing,104.52,Sale,CUST_1494,104.52
TXN_000012,2025-10-29 18:04:39.461045,STORE_008,Groceries,202.67,Sale,CUST_3245,202.67
TXN_000013,2025-10-29 18:15:39.461045,STORE_008,Home Goods,42.57,Sale,CUST_2546,42.57
TXN_000014,2025-10-29 18:34:39.461045,STORE_003,Home Goods,113.39,Sale,CUST_0540,113.39
TXN_000015,2025-10-29 18:49:39.461045,STORE_006,Electronics,70.77,Sale,CUST_2119,70.77
TXN_000016,2025-10-29 18:59:39.461045,STORE_005,Electronics,49.02,Sale,CUST_4026,49.02
TXN_000017,2025-10-29 19:04:39.461045,STORE_002,Home Goods,28.96,Sale,CUST_2690,28.96
TXN_000018,2025-10-29 19:24:39.461045,STORE_008,Clothing,286.6,Sale,CUST_3450,286.6
TXN_000019,2025-10-29 19:28:39.461045,STORE_006,Home Goods,36.92,Sale,CUST_4683,36.92
TXN_000020,2025-10-29 19:43:39.461045,STORE_002,Groceries,94.58,Sale,CUST_0105,94.58
